date,resting_hr,n
2024-06-17,64.5,2
2024-06-18,46.0,2
2024-06-19,44.5,2
2024-06-21,39.0,2
2024-06-20,46.0,2
2024-06-22,47.0,2
2024-06-23,43.0,2
2024-06-24,46.0,2
2024-06-26,45.5,2
2024-06-27,42.0,2
2024-06-28,44.0,2
2024-06-29,44.0,2
2024-06-30,43.0,2
2024-07-01,40.0,2
2024-07-02,42.0,2
2024-07-03,43.5,2
2024-07-04,45.0,2
2024-07-05,39.0,2
2024-07-06,39.5,2
2024-06-25,40.0,1
2024-07-07,44.0,1
2024-07-08,45.5,2
2024-07-09,60.0,1
2024-07-10,54.0,1
2024-07-11,57.0,2
2024-07-12,63.0,1
2024-07-13,59.0,1
2024-07-14,57.0,1
2024-07-15,53.0,1
2024-07-16,53.0,1
2024-07-17,52.5,2
2024-07-19,69.0,2
2024-07-18,53.0,2
2024-07-20,57.0,2
2024-07-21,56.5,2
2024-07-22,55.5,2
2024-07-23,55.0,2
2024-07-24,57.0,2
2024-07-25,53.0,2
2024-07-26,51.5,2
2024-07-27,52.0,2
2024-07-28,57.5,2
2024-07-29,58.0,2
2024-07-30,58.0,1
2024-07-31,54.0,1
2024-08-01,53.0,2
2024-08-05,54.0,2
2024-08-06,57.5,2
2024-08-07,59.0,2
2024-08-08,62.5,2
2024-08-02,63.5,2
2024-08-03,64.5,2
2024-08-04,56.0,1
2024-08-12,60.5,2
2024-08-13,58.5,2
2024-08-14,57.0,2
2024-08-09,63.0,2
2024-08-11,58.0,2
2024-08-15,59.5,2
2024-08-16,61.0,2
2024-08-18,71.0,1
2024-08-19,53.0,2
2024-08-20,52.5,2
2024-08-21,56.0,2
2024-08-22,55.0,2
2024-08-10,64.0,1
2024-08-17,53.0,1
2024-08-23,57.0,1
2024-08-24,64.0,1
2024-08-25,69.0,1
2024-08-26,57.0,1
2024-08-27,63.0,1
2024-08-28,53.0,1
2024-08-29,57.0,1
2024-08-30,60.0,2
2024-08-31,61.0,2
2024-09-01,65.5,2
2024-09-02,61.0,2
2024-09-03,62.0,2
2024-09-04,62.0,2
2024-09-05,64.0,1
2024-09-06,61.0,1
2024-09-07,59.0,1
2024-09-08,55.0,1
2024-09-09,53.0,1
2025-03-27,53.0,2
2025-03-28,60.5,2
2025-03-30,50.5,2
2025-03-31,51.0,1
2025-04-02,52.5,2
2025-04-03,58.0,2
2025-04-04,58.5,2
2025-04-05,60.0,2
2025-04-06,59.5,2
2025-04-08,56.0,2
2025-04-07,57.0,1
2025-04-10,55.0,1
2025-04-11,55.5,2
2025-04-12,58.0,2
2025-04-13,56.5,2
2025-04-14,59.0,2
2025-04-15,49.0,1
2025-04-17,54.5,2
2025-04-18,54.0,1
2025-04-19,56.5,2
2025-04-20,56.5,2
2025-04-21,60.0,2
2025-04-23,63.0,1
2025-04-24,54.0,2
2025-04-25,59.0,2
2025-04-26,53.0,1
2025-04-27,51.0,2
2025-03-26,56.0,1
2025-03-29,52.0,1
2025-04-01,53.0,1
2025-04-09,56.0,1
2025-04-16,53.0,1
2025-04-22,52.0,1
2025-04-28,54.0,1
2025-04-29,51.0,1
2025-04-30,53.0,1
2025-05-01,52.0,1
