week,rhr_week_mean,rhr_week_min,rhr_week_max,rhr_week_sd,n_days
2024-W25,47.14,39.0,64.5,8.107,7
2024-W26,43.5,40.0,46.0,2.062,7
2024-W27,41.86,39.0,45.0,2.393,7
2024-W28,56.5,45.5,63.0,5.605,7
2024-W29,56.29,52.5,69.0,5.901,7
2024-W30,54.5,51.5,57.5,2.38,7
2024-W31,58.14,53.0,64.5,4.423,7
2024-W32,59.71,54.0,64.0,3.604,7
2024-W33,60.07,53.0,71.0,5.518,7
2024-W34,58.07,52.5,69.0,6.14,7
2024-W35,59.5,53.0,65.5,4.193,7
2024-W36,60.57,55.0,64.0,2.878,7
2024-W37,53.0,53.0,53.0,0.0,1
2025-W13,54.4,50.5,60.5,3.959,5
2025-W14,56.07,51.0,60.0,3.758,7
2025-W15,56.29,55.0,58.0,0.994,7
2025-W16,54.64,49.0,59.0,3.185,7
2025-W17,56.0,51.0,63.0,4.619,7
2025-W18,52.5,51.0,54.0,1.291,4
