start,vo2
2024-06-23T08:29:22-07:00,46.23
2024-06-23T08:29:24-07:00,47.34
2024-06-30T09:01:05-07:00,46.7
2024-07-04T08:36:40-07:00,46.7
2024-07-04T08:36:45-07:00,47.11
2024-07-06T09:12:41-07:00,46.88
2024-07-06T09:12:43-07:00,46.73
2024-07-12T09:31:04-07:00,46.95
2024-07-14T09:48:15-07:00,47.08
2024-07-28T08:42:34-07:00,46.96
2024-08-18T08:34:13-07:00,47.07
2024-08-21T08:37:50-07:00,47.42
2024-08-25T08:36:48-07:00,47.46
2024-09-01T08:42:05-07:00,47.46
2024-09-02T08:37:07-07:00,47.5
2024-09-08T08:35:41-07:00,47.4
